	CourseId	Category	Code	Title	Description	ReviewCount	DocCount
0	0	ACS-UH	1010X	Anthropology and the Arab World	How have anthropologists encountered, written about, and produced the “Arab world” over the past century? Beginning with early Western travelers’ imaginaries of Arabia and ending with a reflection on the role of anthropology in the Arab world (and more globally) today, this course provides an introduction to the anthropological project and to the everyday realities of people living in the region. Through ethnography, literature, film and fieldwork, we will explore such topics as Orientalism and its legacy; constructs of youth, gender, family and tribe; poetry and mediation; generational and social change; oil, development and globalization; transnational labor, migration and diaspora; Indian Ocean networks; pilgrimage and piety; the Islamic Revival; faith, medicine, and bioethics; displacement and dispossession; refugees and human rights; and the Arab uprisings.	0	0
1	1	ACS-UH	1011X	Introduction to Modern Arabic Literature	This course provides an overview of Arabic literature since the nineteenth century. The transformation of poetic form and the emergence of modern genres, such as drama, the novel, and the short story, will be examined in relation to classical Arabic and European genres. We will also discuss the relationship between aesthetic developments and their historical, political, and intellectual contexts.	0	0
2	2	ACS-UH	1012X	Emergence of the Modern Middle East	At the crossroads between Asia, Africa and Europe, the region that Europeans and North Americans labeled “The Middle East” presents a dynamic and heterogeneous landscape of peninsulas and isthmuses, republics and monarchies, oil producing countries, and labor exporting nations. This course examines the recent history of the region from the mid-18th century until the Arab uprisings of 2010-2012. We explore the last Islamic empires, the intrusion of European colonial powers, the modernist, nationalist and Islamic reactions to aggression, the creation of authoritarian systems of power and the multiform protests that have shaken them. The Egyptian, Iranian, Palestinian, and Saudi experiences are examined more closely.	0	0
3	3	ACS-UH	1211X	UAE from Pre-History to 2030: History, Environment, Society and Culture	A selection of themes and topics providing a broad perspective of Emirati history and culture are covered in this introduction to the United Arab Emirates. The class consists largely of presentations by guest experts as well as a selection of readings designed to provide a deep insight into the past and future of the nation. Students are required to keep a journal and submit a research paper on a relevant topic of their choice.	0	0
4	4	ACS-UH	1212J	Modern Architecture in Abu Dhabi	(Formerly ACS-AD 263J)This course is an exploration of modern architecture in the city. Gulf countries have witnessed an unprecedented construction boom since the beginning of oil exploitation. New cities have been built and old cities have been renewed, often with the help of such world-class architects as Le Corbusier, Frank Lloyd Wright, Walter Gropius, and Constantinos Doxiadis. In Abu Dhabi, infrastructures, public buildings, and residential projects have been designed by Roger Taillibert, Benjamin Thompson, Norman Foster, and Zaha Hadid, to name but a few. Students contribute to writing the story of modern architecture in the city. They visit and document remarkable buildings, explore local archives, and reconstitute the trajectories of architectural forms and patterns. The final project is an architectural guide designed for students, faculty, and the Abu Dhabi community.	0	0
5	5	ACS-UH	1410X	Making of the Muslim Middle East	Islam changed and shaped the Middle East, the Mediterranean world, and South Asia following its emergence in the seventh century. Muslims subsequently developed and expressed their faith in the disciplines of law, theology, and mysticism, even as their religious communities fractured into a variety of Sunni and Shi’a groups. This course focuses on primary sources to examine the richness of Islamicate civilization in the pre-modern world, including inter-religious relations as well as political and economic trends.	0	0
6	6	ACS-UH	1411X	First Islamic World Empire: The Abbasids	Founded in the year 750 C.E., the Abbasid caliphate was one of the world’s great empires. At the height of its strength, the Abbasid caliph ruled over a vast region extending from North Africa to Central Asia. This course will examine the historical rise of the Abbasids as a watershed moment in the history of Late Antiquity that would have a profound and lasting impact on the political, religious, intellectual life of Eurasia for the next millennium. Through an engagement with primary texts and secondary studies across a wide variety of Islamicate intellectual disciplines (historical writing, philosophy, law, theology, science, political theory and belles-lettres), students in this class will come to understand some of the complex dynamics that went into the formation of a distinctive Islamic state and society, and what consequences Abbasid rule would have for later generations.	0	0
7	7	ACS-UH	1412X	Race and Ethnicity in the Histories of the Middle East and Africa	How have the inhabitants of the Middle East and Africa conceived of social difference? Beginning in Late Antiquity and then with the spread of Islam into the Middle East and North Africa, this course will explore the social, cultural and political contingencies that gave rise to ethnic and racial identities within and beyond the Muslim world. How did these identities and categories change over time and in which ways were they impacted by the Indian Ocean, Atlantic, and Saharan slave trades, local social and political factors, European colonialism and then de-colonization in the twentieth century? What are the terms and meanings attached to skin color or social difference in the Arabic, Hebrew, Persian, Berber, Swahili, Songhai, Amharic, or Turkish speaking worlds? How are these constructed and controlled? Who gave these categories meaning and why? What are the obstacles to discussing and identifying race particular to the histories of these regions, their peoples, and their histories? In order to answer these questions, the course will draw extensively on primary sources, historical research, as well as theoretical writings on race and ethnicity.	0	0
8	8	ACS-UH	1610X	Feminism and Islamism in the Middle East and North Africa	What does it mean to identify as a “feminist” or an “Islamist” in the MENA region today, and to what extent are those terms philosophically and politically compatible? Is feminism itself - and movements for gender equality and LGBTQ rights in the region more broadly - a legacy of colonialism and Western influence/ intervention? Or do such movements have local, organic roots expressed through Islamic texts and history, and even Islamist forms of political activism? How can we appraise the track record of so-called Islamist movements (e.g.: Egypt’s Muslim Brotherhood, Turkey’s AK Parti, Tunisia’s Ennahdha Party, and Morocco’s Freedom and Justice Party and Al-Adl wal Ihsan movement) on promoting women’s rights and gender inclusivity in comparison to states, secularly oriented political movements, and jihadist movements in the region? Students in this course will explore these questions by critically engaging with historical texts and country case studies, in addition to materials produced by and about feminist, Islamic, and Islamist actors.	0	0
9	9	ACS-UH	2210JX	Cities and Modern Arabic Literature	We use fiction as a tool to visit (figuratively) five cities: Cairo, Alexandria, Beirut, Haifa, and Baghdad. The novels are our guides in order to understand the multiple layers of a city, and to build knowledge about the relationship between literature and social life. We read works by Naguib Mahfouz, Sunalla Ibrahim, Huda Barakat, Hanan Al Sheikh, Tawfic Yussuf Awad, Sinan Antoun, and Ghassan Kanafani. We read the novels as both individual and collective experiences, and we discuss how the new literary genre reflected and participated in the process of social change.	0	0
10	10	ACS-UH	2211JX	Orientalism Debates	In 1978 Edward Said published Orientalism, a book that presented a strong critique of Western scholarship on the Middle East. Thirty-five years later it is hard to find a discipline in the humanities and the social sciences that has not been influenced by the book, which is often credited with having founded the field of post-colonial studies. In this course we will read Orientalism, study Said’s complex relationship with the work of Foucault, his long feud with Bernard Lewis, the influence of Orientalism on fields as disparate as art history and political science, and read the works of recent critics of Said such as Daniel Varisco and Robert Irwin.	0	0
11	11	ACS-UH	2212X	Introduction to Islamic Texts	This class is divided roughly into two broad sections: in the first half of the semester samples of the Qur’an are read, translated and analyzed for orthographic and phonetic features, as well as structure and meaning and basic aspects of variegated styles within the developing scripture. Early Surahs are read, as well as, later, samples of narrative and, in the last section, of legalistic (i.e. Medinan) materials. In the second half of the semester we read examples of Hadith and Qur’anic exegesis, highlighting throughout the styles and protocols of this literature. The Hadith come mostly out of Bukhari and the Sirah of the Prophet; and the exegesis includes readings from Baydawi, Qurtubi, Razi and Qushayri (the last being an example of mystical hermeneutics).	0	0
12	12	ACS-UH	2410X	Paradise Lost: Muslims, Christians and Jews in Al-Andalus	From the beginning of the 8th to the beginning of the 17th century, Islam played a crucial role in the history of the Iberian Peninsula. Today this period is often portrayed as one of inter-religious harmony, while Al-Andalus is simultaneously mourned in contemporary Islamist discourse as a lost paradise. In this course we investigate the rich and complex history of Al-Andalus, focusing on the changing relationships between Muslim, Christian, and Jewish communities.	0	0
